City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Atuona,PF,77.22,scattered clouds,-9.8,-139.0333,Villa Enata
7,Bethel,US,88.81,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
10,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
14,Zhangye,CN,80.06,clear sky,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
19,Banda Aceh,ID,78.19,light rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
24,Kapaa,US,84.18,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort Hotel
28,Gat,IL,79.81,clear sky,31.61,34.7642,OlusHome
29,Owando,CG,77.95,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
30,Salumbar,IN,76.82,overcast clouds,24.1333,74.05,chatra chaya guest house
36,Kahului,US,87.96,overcast clouds,20.8947,-156.47,Maui Seaside Hotel
38,Villanueva De La Serena,ES,79.77,clear sky,38.9766,-5.7974,Hotel Veracruz
41,Jamestown,US,75.06,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
42,Pandan,PH,79.52,overcast clouds,14.0453,124.1694,Bonifacio Lodge
44,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
48,Jishou,CN,78.46,overcast clouds,28.3167,109.7167,7 Days Inn
51,Naze,JP,80.08,overcast clouds,28.3667,129.4833,Shishime Hotel
53,Isagarh,IN,75.13,heavy intensity rain,24.8333,77.8833,ACC Cement
57,Sao Filipe,CV,78.4,few clouds,14.8961,-24.4956,Hotel Xaguate
61,Bairiki,KI,84.2,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
64,Roma,US,78.51,few clouds,43.2128,-75.4557,Wingate By Wyndham Rome
66,Paragominas,BR,83.05,broken clouds,-2.9667,-47.4833,INOVA
98,Cintalapa,MX,80.42,overcast clouds,16.6951,-93.7272,Casa Blanca Hotel Hacienda
99,Pacific Grove,US,86.38,clear sky,36.6177,-121.9166,Lovers Point Inn
102,Marsaxlokk,MT,79.41,few clouds,35.8419,14.5431,Water's Edge
105,Mizdah,LY,76.5,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
