City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Atuona,PF,-9.8,-139.0333,77.22,68,33,25.48,scattered clouds
1,Constitucion,CL,-35.3333,-72.4167,50.49,79,0,5.66,clear sky
2,Hobart,AU,-42.8794,147.3294,43.27,100,75,0.0,broken clouds
3,Ushuaia,AR,-54.8,-68.3,33.35,94,92,2.59,overcast clouds
4,Codrington,AU,-38.2667,141.9667,46.27,93,100,3.06,overcast clouds
5,Rikitea,PF,-23.1203,-134.9692,73.15,70,77,20.94,broken clouds
6,Kaitangata,NZ,-46.2817,169.8464,37.96,74,13,6.33,few clouds
7,Bethel,US,41.3712,-73.414,88.81,53,100,1.52,overcast clouds
8,Isangel,VU,-19.55,169.2667,73.06,57,10,15.57,clear sky
9,San Nicolas Guadalupe,MX,19.6125,-100.0333,60.31,66,100,1.34,overcast clouds
10,Avarua,CK,-21.2078,-159.775,78.85,73,20,12.66,few clouds
11,Lahij,YE,13.1667,44.5833,85.51,58,94,2.24,overcast clouds
12,Hermanus,ZA,-34.4187,19.2345,58.8,72,100,13.89,overcast clouds
13,Nikolskoye,RU,59.7035,30.7861,66.09,75,100,6.22,overcast clouds
14,Zhangye,CN,38.9342,100.4517,80.06,55,1,1.63,clear sky
15,Ardon,RU,43.17,44.29,68.99,68,0,3.4,clear sky
16,Pangody,RU,65.85,74.4859,60.06,52,100,12.55,overcast clouds
17,Punta Arenas,CL,-53.15,-70.9167,35.11,69,82,7.29,broken clouds
18,Kruisfontein,ZA,-34.0033,24.7314,55.89,92,100,5.82,overcast clouds
19,Banda Aceh,ID,5.5577,95.3222,78.19,83,99,12.06,light rain
20,Mount Isa,AU,-20.7333,139.5,62.37,39,91,6.91,overcast clouds
21,Saint-Philippe,RE,-21.3585,55.7679,63.99,70,31,12.5,scattered clouds
22,Sept-Iles,CA,50.2001,-66.3821,65.05,85,96,4.0,overcast clouds
23,Coihaique,CL,-45.5752,-72.0662,38.91,98,99,3.91,overcast clouds
24,Kapaa,US,22.0752,-159.319,84.18,70,77,5.01,broken clouds
25,Bambous Virieux,MU,-20.3428,57.7575,69.22,69,92,17.22,overcast clouds
26,Albany,US,42.6001,-73.9662,82.56,53,83,1.01,broken clouds
27,Yellowknife,CA,62.456,-114.3525,63.05,38,31,11.86,scattered clouds
28,Gat,IL,31.61,34.7642,79.81,100,0,5.17,clear sky
29,Owando,CG,-0.4819,15.8999,77.95,48,99,1.3,overcast clouds
30,Salumbar,IN,24.1333,74.05,76.82,95,100,10.63,overcast clouds
31,Nadym,RU,65.5333,72.5167,59.63,54,100,11.74,overcast clouds
32,Klaksvik,FO,62.2266,-6.589,52.72,85,100,11.92,overcast clouds
33,Norman Wells,CA,65.282,-126.8329,71.94,26,69,4.76,broken clouds
34,Mataura,NZ,-46.1927,168.8643,38.46,70,19,2.82,few clouds
35,Lebu,CL,-37.6167,-73.65,50.18,90,100,2.8,light rain
36,Kahului,US,20.8947,-156.47,87.96,67,100,11.99,overcast clouds
37,Marystown,CA,47.1666,-55.1483,58.73,89,100,7.29,overcast clouds
38,Villanueva De La Serena,ES,38.9766,-5.7974,79.77,25,0,4.47,clear sky
39,Cape Town,ZA,-33.9258,18.4232,59.88,76,100,8.99,overcast clouds
40,Grand Gaube,MU,-20.0064,57.6608,69.39,61,77,7.0,broken clouds
41,Jamestown,US,42.097,-79.2353,75.06,44,0,5.01,clear sky
42,Pandan,PH,14.0453,124.1694,79.52,84,92,1.12,overcast clouds
43,Saskylakh,RU,71.9167,114.0833,43.66,69,100,7.09,overcast clouds
44,Vaini,TO,-21.2,-175.2,77.16,78,20,12.66,few clouds
45,Narsaq,GL,60.9167,-46.05,55.62,81,11,3.56,few clouds
