City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Miri,MY,2022-08-11 19:46:51,4.4148,114.0089,80.74,94,40,1.14
1,Lavrentiya,RU,2022-08-11 19:46:52,65.5833,-171.0,43.74,89,72,5.95
2,Hithadhoo,MV,2022-08-11 19:43:36,-0.6,73.0833,81.64,75,3,7.49
3,Vaini,TO,2022-08-11 19:46:52,-21.2,-175.2,73.56,83,40,11.5
4,Beringovskiy,RU,2022-08-11 19:45:09,63.05,179.3167,52.68,84,100,16.15
5,Busselton,AU,2022-08-11 19:46:52,-33.65,115.3333,49.24,87,3,9.95
6,Punta Arenas,CL,2022-08-11 19:46:53,-53.15,-70.9167,39.31,60,40,11.5
7,Port Blair,IN,2022-08-11 19:46:53,11.6667,92.75,81.36,81,100,14.27
8,Rikitea,PF,2022-08-11 19:42:21,-23.1203,-134.9692,73.13,72,60,21.7
9,Sur,OM,2022-08-11 19:46:53,22.5667,59.5289,89.56,59,100,7.83
10,Halifax,CA,2022-08-11 19:43:58,44.6453,-63.5724,73.29,81,75,9.22
11,Coquimbo,CL,2022-08-11 19:46:54,-29.9533,-71.3436,55.13,87,75,6.91
12,Cape Town,ZA,2022-08-11 19:46:54,-33.9258,18.4232,59.88,77,40,10.36
13,Santa Isabel,BR,2022-08-11 19:42:10,-23.3156,-46.2214,64.11,74,48,7.45
14,Noumea,NC,2022-08-11 19:46:55,-22.2763,166.4572,69.01,99,85,11.52
15,Quatre Cocos,MU,2022-08-11 19:46:55,-20.2078,57.7625,68.11,70,83,17.98
16,Luderitz,NA,2022-08-11 19:46:55,-26.6481,15.1594,56.71,85,58,8.99
17,Ushuaia,AR,2022-08-11 19:46:55,-54.8,-68.3,38.82,87,40,2.3
18,Lebu,CL,2022-08-11 19:42:32,-37.6167,-73.65,52.5,80,100,3.96
19,Saint-Augustin,CA,2022-08-11 19:42:50,51.226,-58.6502,62.92,85,100,14.76
20,Marshfield,US,2022-08-11 19:46:56,44.6689,-90.1718,79.45,44,20,10.36
21,Iqaluit,CA,2022-08-11 19:46:56,63.7506,-68.5145,53.33,62,40,6.91
22,Jiangyou,CN,2022-08-11 19:46:57,31.7667,104.7167,77.85,85,86,1.61
23,Mataura,NZ,2022-08-11 19:46:57,-46.1927,168.8643,28.87,94,17,3.06
24,Ponta Do Sol,PT,2022-08-11 19:46:57,32.6667,-17.1,74.01,71,70,3.87
25,College,US,2022-08-11 19:42:41,64.8569,-147.8028,63.07,59,20,0.0
26,Guerrero Negro,MX,2022-08-11 19:46:58,27.9769,-114.0611,82.96,46,1,14.56
27,Frederico Westphalen,BR,2022-08-11 19:46:58,-27.3592,-53.3944,59.45,75,0,2.39
28,Albany,US,2022-08-11 19:46:58,42.6001,-73.9662,84.38,51,93,10.74
29,Khatanga,RU,2022-08-11 19:46:59,71.9667,102.5,44.11,66,100,6.26
30,Nikolskoye,RU,2022-08-11 19:46:59,59.7035,30.7861,67.89,68,100,7.52
31,Beira,MZ,2022-08-11 19:46:59,-19.8436,34.8389,71.69,83,20,10.36
32,Brae,GB,2022-08-11 19:47:00,60.3964,-1.353,54.12,95,100,7.45
33,Bluff,NZ,2022-08-11 19:47:00,-46.6,168.3333,38.57,85,98,10.65
34,Nanortalik,GL,2022-08-11 19:47:00,60.1432,-45.2371,45.59,89,49,8.43
35,Bilma,NE,2022-08-11 19:47:00,18.6853,12.9164,97.3,9,34,9.26
36,Tasiilaq,GL,2022-08-11 19:47:01,65.6145,-37.6368,39.36,82,29,2.64
37,Butaritari,KI,2022-08-11 19:47:01,3.0707,172.7902,81.86,74,99,12.19
38,Kodiak,US,2022-08-11 19:47:01,57.79,-152.4072,54.91,94,100,5.75
39,Touros,BR,2022-08-11 19:45:02,-5.1989,-35.4608,78.4,78,23,12.24
40,Lata,PT,2022-08-11 19:46:41,40.1629,-8.3327,64.04,82,0,3.53
41,Puerto Ayora,EC,2022-08-11 19:46:27,-0.7393,-90.3518,78.76,94,100,7.0
42,Qaqortoq,GL,2022-08-11 19:47:02,60.7167,-46.0333,46.56,87,34,3.71
43,Carahue,CL,2022-08-11 19:47:03,-38.7,-73.1667,54.07,72,100,1.9
44,At-Bashi,KG,2022-08-11 19:47:03,41.1702,75.8106,59.97,55,99,5.26
45,Ishigaki,JP,2022-08-11 19:47:03,24.3448,124.1572,80.73,94,46,1.14
46,Jacareacanga,BR,2022-08-11 19:47:04,-6.2222,-57.7528,97.68,26,5,1.88
47,Imbituba,BR,2022-08-11 19:47:04,-28.24,-48.6703,66.85,89,63,8.01
48,Homer,US,2022-08-11 19:47:04,59.6425,-151.5483,60.69,86,100,8.99
49,Hobart,AU,2022-08-11 19:46:33,-42.8794,147.3294,44.06,90,86,5.75
50,Barrow,US,2022-08-11 19:47:05,71.2906,-156.7887,44.62,87,100,20.71
51,Rapid Valley,US,2022-08-11 19:45:02,44.0625,-103.1463,104.41,17,0,20.71
52,Svetlogorsk,BY,2022-08-11 19:47:05,52.6333,29.7333,64.58,77,7,9.35
53,Kulu,TR,2022-08-11 19:47:06,39.0951,33.0799,73.6,39,0,8.72
54,Lompoc,US,2022-08-11 19:47:06,34.6391,-120.4579,78.94,74,40,14.97
55,Pevek,RU,2022-08-11 19:47:06,69.7008,170.3133,36.66,92,88,6.17
56,Jamestown,US,2022-08-11 19:44:17,42.097,-79.2353,76.59,46,75,10.36
57,Srednekolymsk,RU,2022-08-11 19:47:07,67.45,153.6833,63.63,82,88,5.32
58,Elizabeth City,US,2022-08-11 19:47:07,36.2946,-76.2511,88.02,69,0,13.8
59,Litovko,RU,2022-08-11 19:47:07,49.2361,135.1742,56.98,98,100,3.71
60,San Antonio,US,2022-08-11 19:43:18,29.4241,-98.4936,100.85,43,40,4.61
61,Luganville,VU,2022-08-11 19:47:08,-15.5333,167.1667,74.16,69,98,11.74
62,Tartagal,AR,2022-08-11 19:47:08,-22.5164,-63.8013,74.43,19,4,7.2
63,Bethel,US,2022-08-11 19:47:08,41.3712,-73.414,90.63,45,0,3.44
64,Provideniya,RU,2022-08-11 19:47:09,64.3833,-173.3,50.49,91,100,6.06
65,Porto Novo,BJ,2022-08-11 19:47:09,6.4965,2.6036,76.82,86,100,8.84
66,Sao Filipe,CV,2022-08-11 19:47:09,14.8961,-24.4956,78.98,76,6,12.5
67,Port Alfred,ZA,2022-08-11 19:47:10,-33.5906,26.891,62.82,83,99,7.45
68,Bereda,ES,2022-08-11 19:47:10,43.2686,-7.5406,77.41,79,0,1.14
